param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
input,cp_tau_s,1,10,0.7360377623785765,0,3.5907526938777785
input,cp_b,1,10,-2.456627383311375,0,0.9780297892291716
input,cp_tau_0,1,10,0.6550807812747481,0,2.6952452018186412
input,cp_n,1,10,0.06636320225849458,0,1.2775862957847632
input,average_strain,1,10,-2.8483543974883716,0,-0.5430118227154347
output,average_stress,1,10,1.0561422620590524,0,3.906448180715921
output,g39_phi_1,1,10,-0.24080069070318347,0,-0.18310278101751212
output,g39_Phi,1,10,0.2708883646988325,0,0.27857070161051595
output,g39_phi_2,1,10,0.43277694076486,0,0.44701841424765787
output,g50_phi_1,1,10,0.16776026643562975,0,0.2206048878266815
output,g50_Phi,1,10,0.3360192119516659,0,0.3416718872085177
output,g50_phi_2,1,10,0.5042941182947331,0,0.5149725425040592
output,g138_phi_1,1,10,-2.2041616769275443,0,-0.31888545032448906
output,g138_Phi,1,10,0.42092893009800153,0,0.4308326351472177
output,g138_phi_2,1,10,0.3094598224612111,0,0.36550670407720903
output,g164_phi_1,1,10,-0.7160433005651812,0,-0.4525452894272746
output,g164_Phi,1,10,0.3612177125816817,0,0.38232328338198107
output,g164_phi_2,1,10,0.5273978715204672,0,0.5368739489289612
output,g185_phi_1,1,10,-0.35152289168804757,0,-0.11905499637803017
output,g185_Phi,1,10,0.3637247690063747,0,0.3892015355283335
output,g185_phi_2,1,10,0.43346580137229074,0,0.4584716523842314
output,g223_phi_1,1,10,0.6249315044125772,0,0.6700137961720475
output,g223_Phi,1,10,0.4496634941533305,0,0.4756421375547005
output,g223_phi_2,1,10,-3.098073307347931,0,0.798028793404073
output,g243_phi_1,1,10,0.3741432107800257,0,0.390352125833223
output,g243_Phi,1,10,0.3428961983852738,0,0.35318506286354584
output,g243_phi_2,1,10,0.5746099413401872,0,0.5819041682211966
output,g238_phi_1,1,10,-0.11950653213462177,0,-0.08897030049378811
output,g238_Phi,1,10,0.2793246654426104,0,0.30498572020667214
output,g238_phi_2,1,10,0.5277587525209719,0,0.5387998699649996
