param_type,param_name,in_u_bound,out_l_bound,base,out_u_bound,in_l_bound
input,cp_tau_s,3.3002040512524657,0,10,1,0.3763031557559205
input,cp_b,1.3009214084695404,0,10,1,-0.3988638663929299
input,cp_tau_0,2.6936072190786238,0,10,1,1.362614401819402
input,cp_n,1.3003128179343697,0,10,1,0.1693928682419338
input,average_strain,-0.5435884138948227,0,10,1,-4.520611864004139
output,average_stress,3.7481880270062002,0,10,1,0.6628522332647961
output,g60_phi_1,0.4531500948107883,0,10,1,0.31515133770498255
output,g60_Phi,0.48634545366763765,0,10,1,0.4728003152312846
output,g60_phi_2,0.6723472746210032,0,10,1,0.6032310062693631
output,g79_phi_1,-0.03791018037185495,0,10,1,-0.10647125533723942
output,g79_Phi,0.3444708719084549,0,10,1,0.3255977528600192
output,g79_phi_2,0.4857640022849475,0,10,1,0.47374965701347765
output,g178_phi_1,-0.17577650963918315,0,10,1,-0.3549807699572828
output,g178_Phi,0.38881141347352355,0,10,1,0.37546242044717165
output,g178_phi_2,0.449231483122493,0,10,1,0.43284106693432356
output,g189_phi_1,0.4212912539188605,0,10,1,0.3195432580773122
output,g189_Phi,0.4433099356757996,0,10,1,0.42563202355731955
output,g189_phi_2,0.7224117833264952,0,10,1,0.6979873880317861
output,g190_phi_1,0.27634689625303327,0,10,1,0.17449591937529946
output,g190_Phi,0.299942900022767,0,10,1,0.2886739197645144
output,g190_phi_2,0.5917989457305403,0,10,1,0.575187844927661
output,g215_phi_1,0.27070212208781824,0,10,1,0.20766129119678162
output,g215_Phi,0.38037407161362086,0,10,1,0.3525491009162266
output,g215_phi_2,0.6278776945799714,0,10,1,0.61559237384182
output,g237_phi_1,0.3362195045724291,0,10,1,0.321950362519417
output,g237_Phi,0.3618033589256874,0,10,1,0.33885474625232304
output,g237_phi_2,0.6148339646581309,0,10,1,0.6054666641353718
output,g278_phi_1,0.14041375759107408,0,10,1,0.12172394563736698
output,g278_Phi,0.20533972143152285,0,10,1,0.19700472802304578
output,g278_phi_2,0.5871719708673162,0,10,1,0.5838899198964682
