param_type,param_name,base,out_u_bound,out_l_bound,in_l_bound,in_u_bound
input,cp_tau_s,10,1,0,1.8930623344655348,3.589960765564777
input,cp_b,10,1,0,-1.1752625477628356,1.2842953482305266
input,cp_tau_0,10,1,0,-0.06721179009793642,2.9699607684373133
input,cp_n,10,1,0,0.004922949296525733,1.2761169891635438
input,average_strain,10,1,0,-2.1122420830265116,-0.5412413206245684
output,average_stress,10,1,0,0.8611638779012242,4.0385009430766745
output,g51_phi_1,10,1,0,-0.10370532097465449,-0.07229608728784467
output,g51_Phi,10,1,0,0.3174783139230186,0.35543236247054905
output,g51_phi_2,10,1,0,0.4857214264815799,0.5039676322162191
output,g56_phi_1,10,1,0,0.28795840586015076,0.3360592778663493
output,g56_Phi,10,1,0,0.41301461233424624,0.4195096658221407
output,g56_phi_2,10,1,0,0.685902890156902,0.6904973227193504
output,g72_phi_1,10,1,0,-3.0889010116492295,0.7980633641091185
output,g72_Phi,10,1,0,0.4609128699872859,0.4667045440306676
output,g72_phi_2,10,1,0,0.22685757028872347,0.30002996788230146
output,g80_phi_1,10,1,0,0.11597642945481756,0.16852694619268904
output,g80_Phi,10,1,0,0.31841814220994424,0.3292351155694239
output,g80_phi_2,10,1,0,0.6298171960185158,0.6344168073235126
output,g126_phi_1,10,1,0,0.4147060075610812,0.4490307604004151
output,g126_Phi,10,1,0,0.3495106431374833,0.38827886345963897
output,g126_phi_2,10,1,0,0.6883130151451234,0.7043821931966893
output,g223_phi_1,10,1,0,0.6246429982572593,0.6699487980133612
output,g223_Phi,10,1,0,0.45396013208670666,0.47565666318247257
output,g223_phi_2,10,1,0,-2.074316698986594,0.7978766496008344
output,g237_phi_1,10,1,0,0.3247350382860186,0.3361994794666317
output,g237_Phi,10,1,0,0.3367198323643425,0.36159563931823446
output,g237_phi_2,10,1,0,0.6045824172311997,0.6152554665904779
output,g262_phi_1,10,1,0,0.1387446639488925,0.20044007643643103
output,g262_Phi,10,1,0,0.3781070625097422,0.39979482257821664
output,g262_phi_2,10,1,0,0.5846816852406053,0.6052727153236768
