param_type,param_name,in_u_bound,out_l_bound,out_u_bound,in_l_bound,base
input,cp_lh_0,2.961985547243033,0,1,1.488409688903198,10
input,cp_lh_1,2.9504914240084563,0,1,-2.5459024643532864,10
input,cp_tau_0,2.6562994839294563,0,1,1.635825418220755,10
input,cp_n,1.256067982688279,0,1,0.021561392037354816,10
input,average_strain,-0.5406225921720854,0,1,-2.0624169185537378,10
output,average_stress,3.5393521520395352,0,1,2.10680262759965,10
output,g14_phi_1,0.13494171073535963,0,1,0.10019817183413185,10
output,g14_Phi,0.3525491009162266,0,1,0.34175097926517467,10
output,g14_phi_2,0.6359258586758624,0,1,0.6257341909969013,10
output,g72_phi_1,0.7980633641091185,0,1,-2.3582879850901137,10
output,g72_Phi,0.46756371205596253,0,1,0.46092789669807765,10
output,g72_phi_2,0.2987221136057078,0,1,0.2289646774051606,10
output,g95_phi_1,0.28445329401085284,0,1,0.23090851932076448,10
output,g95_Phi,0.30749603791321284,0,1,0.279758172802473,10
output,g95_phi_2,0.5382720356482111,0,1,0.5284153019361394,10
output,g101_phi_1,0.21096025541681185,0,1,0.1556092836789154,10
output,g101_Phi,0.40119368463002525,0,1,0.3866772839608377,10
output,g101_phi_2,0.5519133234979489,0,1,0.54024185611511,10
output,g207_phi_1,0.31962648415563966,0,1,0.2963799537713857,10
output,g207_Phi,0.28454352295874985,0,1,0.25149221456957904,10
output,g207_phi_2,0.5822224992693048,0,1,0.5715807367990864,10
output,g240_phi_1,0.38801234336419055,0,1,0.3711787318162868,10
output,g240_Phi,0.3823592975193185,0,1,0.3705871002466761,10
output,g240_phi_2,0.575303333422399,0,1,0.5679551626275342,10
output,g262_phi_1,0.21157436348285052,0,1,0.1387446639488925,10
output,g262_Phi,0.3989464049013065,0,1,0.3781252456193726,10
output,g262_phi_2,0.60934891545303,0,1,0.5846816852406053,10
output,g287_phi_1,0.3485385012579934,0,1,0.31760374193310437,10
output,g287_Phi,0.3822152230475337,0,1,0.37527943633647476,10
output,g287_phi_2,0.569420731293912,0,1,0.5521448010307775,10
