param_type,param_name,in_u_bound,out_u_bound,in_l_bound,base,out_l_bound
input,cp_tau_s,3.2577985291530305,1,2.128140683129992,10,0
input,cp_b,1.2895443614976472,1,0.2558029853536983,10,0
input,cp_tau_0,2.6624745037503095,1,0.4056365898066668,10,0
input,cp_n,1.2594505237164992,1,0.28492678699028695,10,0
input,average_strain,-0.5446677846513543,1,-2.1185639842382806,10,0
output,average_stress,3.7982016194169,1,2.0211065684321214,10,0
output,g51_phi_1,-0.08419402819860564,1,-0.17560078335773865,10,0
output,g51_Phi,0.3505387432018106,1,0.3177082376103014,10,0
output,g51_phi_2,0.5037906830571811,1,0.4746532533620627,10,0
output,g56_phi_1,0.2878241156667792,1,0.24814498728777773,10,0
output,g56_Phi,0.4325203413589294,1,0.4141540976802072,10,0
output,g56_phi_2,0.6887222988649021,1,0.6482331199001016,10,0
output,g72_phi_1,0.7980702779199121,1,-2.726466319848702,10,0
output,g72_Phi,0.46146851230552627,1,0.45783649772544144,10,0
output,g72_phi_2,0.3153614869793352,1,0.23653726148869397,10,0
output,g80_phi_1,0.13312357540261965,1,0.11089260080221792,10,0
output,g80_Phi,0.32242605240595257,1,0.30924679725367155,10,0
output,g80_phi_2,0.6448618448920638,1,0.6298375658260711,10,0
output,g126_phi_1,0.4218506150229582,1,0.39252108993193224,10,0
output,g126_Phi,0.38824333689559587,1,0.3726727070450601,10,0
output,g126_phi_2,0.6983267723936664,1,0.6765381500948203,10,0
output,g223_phi_1,0.6773148918608625,1,0.6669576682646172,10,0
output,g223_Phi,0.4756276114410808,1,0.4598747692989689,10,0
output,g223_phi_2,-0.346999859889158,1,-0.4677936106549202,10,0
output,g237_phi_1,0.3365197704104162,1,0.3347954225567739,10,0
output,g237_Phi,0.36083945668362205,1,0.3397097547798324,10,0
output,g237_phi_2,0.6218718424263638,1,0.611988688083979,10,0
output,g262_phi_1,0.18287096398890862,1,0.13893394025692368,10,0
output,g262_Phi,0.3989117403778493,1,0.3781797903809501,10,0
output,g262_phi_2,0.5970586317707035,1,0.5847155858051372,10,0
