param_type,param_name,in_u_bound,in_l_bound,out_l_bound,out_u_bound,base
input,cp_lh_0,2.899968159325789,0.8709420500605297,0,1,10
input,cp_lh_1,2.900831220613281,-1.443709563135876,0,1,10
input,cp_tau_0,2.599063905879417,0.9934185938153659,0,1,10
input,cp_n,1.1922328229242767,0.12142851836796285,0,1,10
input,cp_gamma_0,-4.0095989807174535,-5.587539452570038,0,1,10
input,average_strain,-1.0029764073527043,-2.5782315987930757,0,1,10
output,average_stress,3.389609016051986,1.8039212076052247,0,1,10
output,g59_phi_1,0.2391242240947778,0.22685757028872347,0,1,10
output,g59_Phi,0.3537431707539354,0.3475446696450126,0,1,10
output,g59_phi_2,0.6386389878583453,0.6327305383985778,0,1,10
output,g63_phi_1,0.32823685409491626,0.30011701828986953,0,1,10
output,g63_Phi,0.48675625461726846,0.4791576569791917,0,1,10
output,g63_phi_2,0.6089430127644164,0.5937732670410518,0,1,10
output,g86_phi_1,0.31743649653509903,0.312410102994809,0,1,10
output,g86_Phi,0.28571479658290966,0.27309391167200336,0,1,10
output,g86_phi_2,0.5729760989951435,0.5665788947843061,0,1,10
output,g237_phi_1,0.3362195045724291,0.33469495886715817,0,1,10
output,g237_Phi,0.3474666258006221,0.3387153993635276,0,1,10
output,g237_phi_2,0.6150658413436992,0.6114365152655441,0,1,10
output,g303_phi_1,0.40723789707696123,0.4024505388513643,0,1,10
output,g303_Phi,0.308692442201257,0.3007476124662593,0,1,10
output,g303_phi_2,0.6556761657323527,0.6493445961474155,0,1,10
