param_type,param_name,out_u_bound,out_l_bound,base,in_u_bound,in_l_bound
input,cp_lh_0,1,0,10,2.9582293141883818,1.8923005653292337
input,cp_lh_1,1,0,10,2.948011742803477,1.379686151906955
input,cp_tau_0,1,0,10,2.664049351654429,1.772563729103062
input,cp_n,1,0,10,1.2801456813542214,0.5164692662037771
input,average_strain,1,0,10,-0.544211385181842,-2.0582699844275822
output,average_stress,1,0,10,3.6109581060989013,2.582086100247485
output,g51_phi_1,1,0,10,-0.08421511685326975,-0.1780609012702342
output,g51_Phi,1,0,10,0.35063560825895435,0.3175410324561486
output,g51_phi_2,1,0,10,0.5038451366315616,0.471775621020804
output,g56_phi_1,1,0,10,0.2878688836785602,0.24607984122376658
output,g56_Phi,1,0,10,0.41856642837431934,0.4130481693178747
output,g56_phi_2,1,0,10,0.6887667629934006,0.6516656039229355
output,g72_phi_1,1,0,10,0.7981048453229965,-2.7501415275826284
output,g72_Phi,1,0,10,0.46125835286183975,0.4575640039673991
output,g72_phi_2,1,0,10,0.30248245067229573,0.21924387224531558
output,g80_phi_1,1,0,10,0.13735411137073292,0.11454426720586433
output,g80_Phi,1,0,10,0.32615145148354574,0.31378288315519703
output,g80_phi_2,1,0,10,0.6453141735605752,0.6298273810417196
output,g126_phi_1,1,0,10,0.4218834961921064,0.3901222515067005
output,g126_Phi,1,0,10,0.38829662565190354,0.37073508371583197
output,g126_phi_2,1,0,10,0.6983702640349401,0.674282307975821
output,g223_phi_1,1,0,10,0.6783271381114536,0.6680969122049069
output,g223_Phi,1,0,10,0.4756711883244296,0.4556821645007904
output,g223_phi_2,1,0,10,-0.28022966769565866,-0.4389105476819219
output,g237_phi_1,1,0,10,0.3377187620574486,0.33411181073114726
output,g237_Phi,1,0,10,0.36756090437285227,0.3397296186846042
output,g237_phi_2,1,0,10,0.6237246859708572,0.6129109487018852
output,g262_phi_1,1,0,10,0.1906117978136049,0.1388393124143218
output,g262_Phi,1,0,10,0.4037037662129079,0.3781070625097422
output,g262_phi_2,1,0,10,0.6003956298101686,0.5847042859109842
