param_type,param_name,in_u_bound,out_l_bound,base,out_u_bound,in_l_bound
input,cp_tau_s,3.2992675316086015,0,10,1,1.4626824424930074
input,cp_b,1.2852871973693971,0,10,1,-4.690369832574101
input,cp_tau_0,2.681883156660884,0,10,1,-0.5852104308813324
input,cp_n,1.2944441801968731,0,10,1,0.5888541113307603
input,average_strain,-0.544196180123393,0,10,1,-3.415035890879409
output,average_stress,3.834948149617437,0,10,1,-0.11976394607214665
output,g59_phi_1,0.28357257796692453,0,10,1,0.22690908496548198
output,g59_Phi,0.36419440860693814,0,10,1,0.3484995702838377
output,g59_phi_2,0.6491303221219458,0,10,1,0.6327507720214804
output,g63_phi_1,0.31991764989524263,0,10,1,0.2788907249286784
output,g63_Phi,0.48672793598906966,0,10,1,0.44600873368401195
output,g63_phi_2,0.6051433679800674,0,10,1,0.5796692935547203
output,g86_phi_1,0.32684769891599025,0,10,1,0.312410102994809
output,g86_Phi,0.28562481067595147,0,10,1,0.252416090544274
output,g86_phi_2,0.5729412695238768,0,10,1,0.5570738943660124
output,g237_phi_1,0.3367998313481107,0,10,1,0.334835601526356
output,g237_Phi,0.3620864529203951,0,10,1,0.3398090652195195
output,g237_phi_2,0.6221829267827501,0,10,1,0.612932127083471
output,g303_phi_1,0.4161576896321848,0,10,1,0.4032578257871112
output,g303_Phi,0.3207277266441732,0,10,1,0.3007476124662593
output,g303_phi_2,0.6660965854124316,0,10,1,0.6501520431403346
