param_type,param_name,in_l_bound,out_u_bound,out_l_bound,in_u_bound,base
input,cp_lh_0,-1.3660571096887109,1,0,2.9865955910248214,10
input,cp_lh_1,1.6974237864664585,1,0,2.9822033692247722,10
input,cp_lh_2,-3.258919344334969,1,0,2.973839415885675,10
input,cp_lh_3,-0.040109938329384795,1,0,2.9933685140148754,10
input,cp_lh_4,-1.0699530788872953,1,0,2.9949278226329668,10
input,cp_lh_5,0.7128488887835487,1,0,2.9906762122794177,10
input,cp_tau_0,0.7638246676539315,1,0,2.6980604401428026,10
input,cp_n,0.0042783722001624525,1,0,1.2846466966323156,10
input,average_strain,-4.520611864004139,1,0,-0.5406678351079962,10
output,average_stress,0.6578777470232208,1,0,3.509901133910907,10
output,g14_phi_1,0.1008183957315365,1,0,0.1425458840862764,10
output,g14_Phi,0.3416125587120018,1,0,0.3555856000611313,10
output,g14_phi_2,0.6256930636518195,1,0,0.6351619279918101,10
output,g72_phi_1,-3.679562896317135,1,0,0.7981463225752155,10
output,g72_Phi,0.46088281500582734,1,0,0.4681404742606384,10
output,g72_phi_2,0.21835166574513318,1,0,0.30037806487070257,10
output,g95_phi_1,0.23075537404198568,1,0,0.29981226549571693,10
output,g95_Phi,0.2790278056227209,1,0,0.308692442201257,10
output,g95_phi_2,0.5238374770764902,1,0,0.5382720356482111,10
output,g101_phi_1,0.15573067127858853,1,0,0.2126403135348335,10
output,g101_Phi,0.38665945541419416,1,0,0.402845781655725,10
output,g101_phi_2,0.5401917803626227,1,0,0.5535675026539852,10
output,g207_phi_1,0.2963141033532408,1,0,0.3250638935648861,10
output,g207_Phi,0.24814498728777773,1,0,0.28411476840176964,10
output,g207_phi_2,0.5698652856605672,1,0,0.5822565923322343,10
output,g240_phi_1,0.3696795995598158,1,0,0.4002443312381505,10
output,g240_Phi,0.3601388135775749,1,0,0.3824133131262665,10
output,g240_phi_2,0.5628636162397321,1,0,0.5758341852985427,10
output,g262_phi_1,0.13858687065358277,1,0,0.20879058654829866,10
output,g262_Phi,0.37803432245733143,1,0,0.39948335150445247,10
output,g262_phi_2,0.5845912707958717,1,0,0.6083120426973271,10
output,g287_phi_1,0.3152984528736241,1,0,0.3558919131313765,10
output,g287_Phi,0.3724885434930242,1,0,0.3857849588433357,10
output,g287_phi_2,0.5496284902484666,1,0,0.5695143595107032,10
