param_type,param_name,in_l_bound,in_u_bound,out_u_bound,out_l_bound,base
input,cp_tau_s,1.8620239855320189,3.2855348061200305,1,0,10
input,cp_b,-1.7855270494766227,1.2891651526498888,1,0,10
input,cp_tau_0,1.434712580645523,2.6910372643636853,1,0,10
input,cp_n,0.011739561388318437,1.29119118856246,1,0,10
input,average_strain,-2.227957152892148,-0.5432848494314071,1,0,10
output,average_stress,2.2198463860243605,3.7294320902132294,1,0,10
output,g59_phi_1,0.22065714949725035,0.2837533833325265,1,0,10
output,g59_Phi,0.3363596544652307,0.3644196553502351,1,0,10
output,g59_phi_2,0.6327406553278637,0.6495295659478189,1,0,10
output,g63_phi_1,0.2647706145218653,0.3377786248361834,1,0,10
output,g63_Phi,0.43656017062174035,0.4866854545841969,1,0,10
output,g63_phi_2,0.5739270245423793,0.6119568510356743,1,0,10
output,g86_phi_1,0.31251585566338685,0.3270931670485125,1,0,10
output,g86_Phi,0.2524889444849883,0.2863666373995939,1,0,10
output,g86_phi_2,0.557025722386383,0.5729064372591384,1,0,10
output,g237_phi_1,0.33160947976409283,0.33713966272456086,1,0,10
output,g237_Phi,0.335016360903587,0.3634051237406254,1,0,10
output,g237_phi_2,0.607122472989352,0.6227940767394778,1,0,10
output,g303_phi_1,0.3996564185673562,0.41917893856105753,1,0,10
output,g303_Phi,0.3008345191616123,0.3249406020149017,1,0,10
output,g303_phi_2,0.6456383802445483,0.669512129691546,1,0,10
