iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,1.0152696935524441,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.4144539875469685,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.5691419707356659,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.3121399551942218,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,2.236078496544249,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,0.1906935610732845,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,4.952137109839114,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,8.743665869549469,nan,nan
9,905.19,2.7489,190.08,1.8804,0.9933288292502835,nan,nan
10,910.09,2.7018,189.73,1.8593,0.9129254040341241,nan,nan
11,921.33,2.7464,188.04,1.8859,1.0332683647400496,nan,nan
12,909.29,2.7313,191.3,1.8865,1.0008682562136095,nan,nan
13,917.22,2.7577,187.36,1.8737,1.0022301978029464,nan,nan
14,921.06,2.7815,189.36,1.8802,1.0178185973916969,nan,nan
15,906.44,2.7666,189.7,1.8947,1.041987335998854,nan,nan
16,908.52,2.7328,190.63,1.8943,1.0264832285815073,nan,nan
17,933.95,2.7145,192.24,1.9024,1.0385828800692587,nan,nan
18,915.08,2.7265,189.9,1.9135,1.0708000979308296,nan,nan
19,903.18,2.7859,187.68,1.8691,0.9820315475466859,nan,nan
20,896.81,2.7733,189.43,1.9195,1.0889755696270986,nan,nan
21,915.08,2.7059,186.17,1.8741,0.9945181900365732,nan,nan
22,916.29,2.7635,186.24,1.8981,1.0768687166163875,nan,nan
23,911.42,2.7621,184.72,1.8843,1.049734981186043,nan,nan
24,903.77,2.7256,186.06,1.8829,1.0210144704305346,nan,nan
25,923.03,2.7104,186.1,1.9059,1.0815423203845413,nan,nan
26,910.63,2.7765,186.02,1.8587,0.9597972915898927,nan,nan
27,906.2,2.7236,189.25,1.8873,1.0131550768024924,nan,nan
28,900.19,2.7161,187.43,1.8713,0.9676441908860474,nan,nan
29,917.5,2.7002,189.85,1.9149,1.067978601652899,nan,nan
30,914.6,2.7068,190.32,1.8968,1.031041867641212,nan,nan
31,910.29,2.7428,189.96,1.8705,0.9640365960880344,nan,nan
32,893.02,2.7025,191.75,1.8743,0.9386542715549457,nan,nan
33,918.28,2.7412,189.83,1.8607,0.9367983774118411,nan,nan
34,909.48,2.7151,185.34,1.9061,1.0841460199240622,nan,nan
35,910.69,2.7736,187.12,1.8853,1.0392866934248615,nan,nan
36,917.95,2.6804,188.86,1.896,1.0338047016910692,nan,nan
37,912.74,2.7365,190.88,1.9032,1.0477602064533917,nan,nan
38,888.53,2.7009,187.86,1.8869,1.002485613337116,nan,nan
39,912.99,2.7321,188.7,1.8828,1.010706431748947,nan,nan
40,915.12,2.7298,187.34,1.8571,0.9342530537089696,nan,nan
41,903.09,2.7765,188.2,1.8689,0.9748491245367177,nan,nan
42,907.17,2.7445,190.8,1.9087,1.058368232392064,nan,nan
43,922.77,2.721,190.78,1.9055,1.0522648548513012,nan,nan
44,906.23,2.7076,188.88,1.8818,0.9945748556101505,nan,nan
45,899.36,2.7372,188.56,1.8776,0.9870166181721574,nan,nan
