param_type,param_name,in_l_bound,in_u_bound,out_u_bound,base,out_l_bound
input,cp_tau_s,2.7024477700116036,3.3007041525961234,1,10,0
input,cp_b,0.39562339435583616,1.2998122654957167,1,10,0
input,cp_tau_0,-3.968874424268434,2.6661996308783635,1,10,0
input,cp_n,0.0007810273534955295,1.1510939227850614,1,10,0
input,average_strain,-2.095300680222989,-0.5430724804873693,1,10,0
output,average_stress,2.0801934194284795,3.673334297476869,1,10,0
output,g59_phi_1,0.2195845262142547,0.28094240599869813,1,10,0
output,g59_Phi,0.3441367311758823,0.3650384821957054,1,10,0
output,g59_phi_2,0.6327406553278637,0.6487014566517258,1,10,0
output,g63_phi_1,0.27482725543810427,0.3415730018778454,1,10,0
output,g63_Phi,0.44496552334866535,0.4866712931924322,1,10,0
output,g63_phi_2,0.5774458403174296,0.6139052179030269,1,10,0
output,g86_phi_1,0.3124947071896712,0.32684769891599025,1,10,0
output,g86_Phi,0.2537740196788796,0.2867034129342692,1,10,0
output,g86_phi_2,0.557735717818272,0.5728716022004802,1,10,0
output,g237_phi_1,0.3312247810207324,0.33693979412058994,1,10,0
output,g237_Phi,0.3344537511509309,0.36363078011213823,1,10,0
output,g237_phi_2,0.6067574474466348,0.6229907048100862,1,10,0
output,g303_phi_1,0.39922362152726953,0.417986230686384,1,10,0
output,g303_Phi,0.3008779659885696,0.3230044507740414,1,10,0
output,g303_phi_2,0.6452552008792866,0.6680782601484745,1,10,0
