param_type,param_name,base,out_u_bound,out_l_bound,in_u_bound,in_l_bound
input,cp_lh_0,10,1,0,2.899968159325789,0.8709420500605297
input,cp_lh_1,10,1,0,2.900831220613281,-1.1282519810081284
input,cp_tau_0,10,1,0,2.599063905879417,0.9934185938153659
input,cp_n,10,1,0,1.1969771353751186,0.12142851836796285
input,cp_gamma_0,10,1,0,-4.0095989807174535,-5.587539452570038
input,average_strain,10,1,0,-0.5429056919961535,-2.0987651498123028
output,average_stress,10,1,0,3.550619653436924,1.9340892136882404
output,g59_phi_1,10,1,0,0.2981322917796097,0.22685757028872347
output,g59_Phi,10,1,0,0.3652071002318231,0.34411706783031026
output,g59_phi_2,10,1,0,0.6543594655476564,0.6327406553278637
output,g63_phi_1,10,1,0,0.34941352681473165,0.2831202349597742
output,g63_Phi,10,1,0,0.48672793598906966,0.44589985871260024
output,g63_phi_2,10,1,0,0.6174197467371766,0.5806170988294279
output,g86_phi_1,10,1,0,0.3280124388555864,0.3124312555887251
output,g86_Phi,10,1,0,0.2856473089007293,0.24841469734872204
output,g86_phi_2,10,1,0,0.572952879657996,0.5552879628878162
output,g237_phi_1,10,1,0,0.3386158384905983,0.3329835108162261
output,g237_Phi,10,1,0,0.3685471975676564,0.3380179934708872
output,g237_phi_2,10,1,0,0.6245914591268478,0.609306206714763
output,g303_phi_1,10,1,0,0.42107719001702176,0.40162452381726443
output,g303_Phi,10,1,0,0.32643827679572834,0.3007910679877988
output,g303_phi_2,10,1,0,0.6714690619997554,0.6480671294489346
