iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,1.0907899577710989,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.44791801404740184,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.4475674105572643,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.3546722142610176,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,0.22134073654896275,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,0.24410658623527226,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,5.600353922475345,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,7.924552661572966,nan,nan
9,905.19,2.7489,190.08,1.8804,1.0866304830843547,nan,nan
10,910.09,2.7018,189.73,1.8593,1.0751780335775123,nan,nan
11,921.33,2.7464,188.04,1.8859,1.096394012025864,nan,nan
12,909.29,2.7313,191.3,1.8865,1.0771019931004273,nan,nan
13,917.22,2.7577,187.36,1.8737,1.100011338709785,nan,nan
14,921.06,2.7815,189.36,1.8802,1.0912919760140858,nan,nan
15,906.44,2.7666,189.7,1.8947,1.0949602766728341,nan,nan
16,908.52,2.7328,190.63,1.8943,1.0838487789729194,nan,nan
17,933.95,2.7145,192.24,1.9024,1.0659481515311184,nan,nan
18,915.08,2.7265,189.9,1.9135,1.0899663508412814,nan,nan
19,903.18,2.7859,187.68,1.8691,1.1040542502260462,nan,nan
20,896.81,2.7733,189.43,1.9195,1.105246394916671,nan,nan
21,915.08,2.7059,186.17,1.8741,1.1010987563933796,nan,nan
22,916.29,2.7635,186.24,1.8981,1.113685520431965,nan,nan
23,911.42,2.7621,184.72,1.8843,1.1207470285923529,nan,nan
24,903.77,2.7256,186.06,1.8829,1.1097379883493301,nan,nan
25,923.03,2.7104,186.1,1.9059,1.1067170683865164,nan,nan
26,910.63,2.7765,186.02,1.8587,1.1079645313384614,nan,nan
27,906.2,2.7236,189.25,1.8873,1.090112515459235,nan,nan
28,900.19,2.7161,187.43,1.8713,1.0978425112694103,nan,nan
29,917.5,2.7002,189.85,1.9149,1.0861690289736634,nan,nan
30,914.6,2.7068,190.32,1.8968,1.0812400600530832,nan,nan
31,910.29,2.7428,189.96,1.8705,1.0824453409608474,nan,nan
32,893.02,2.7025,191.75,1.8743,1.0710036696693923,nan,nan
33,918.28,2.7412,189.83,1.8607,1.0781011198690165,nan,nan
34,909.48,2.7151,185.34,1.9061,1.1156722431128603,nan,nan
35,910.69,2.7736,187.12,1.8853,1.1084590993386192,nan,nan
