param_type,param_name,out_l_bound,in_u_bound,out_u_bound,base,in_l_bound
input,cp_tau_s,0,3.59286486307962,1,10,0.15533603746506178
input,cp_b,0,0.9949503120313088,1,10,-4.840041997321481
input,cp_tau_0,0,2.6770591773921613,1,10,0.8507258587476276
input,cp_n,0,1.2655253352190736,1,10,0.017784353096678394
input,average_strain,0,-0.5410148542889871,1,10,-2.3746875490383257
output,average_stress,0,3.963551733574096,1,10,1.6270789636107217
output,g39_phi_1,0,-0.1814442207021974,1,10,-0.25797438670248374
output,g39_Phi,0,0.2790734895739441,1,10,0.26979304386122976
output,g39_phi_2,0,0.4470494441477784,1,10,0.43208698577808313
output,g50_phi_1,0,0.2873537727147465,1,10,0.16625245195416022
output,g50_Phi,0,0.3447458537251875,1,10,0.33593906903172943
output,g50_phi_2,0,0.515052144364414,1,10,0.5032594025908621
output,g138_phi_1,0,-0.3485959813305617,1,10,-2.279658744646039
output,g138_Phi,0,0.43120288455651656,1,10,0.42069820290880705
output,g138_phi_2,0,0.35841078620633654,1,10,0.31152076244804877
output,g164_phi_1,0,-0.4448813574169447,1,10,-0.7613768946152996
output,g164_Phi,0,0.3817466506504528,1,10,0.36116099519502604
output,g164_phi_2,0,0.5375420653268087,1,10,0.5281193338930464
output,g185_phi_1,0,-0.10630480158413697,1,10,-0.35260724858827935
output,g185_Phi,0,0.3893078716599163,1,10,0.3658248068593644
output,g185_phi_2,0,0.4587586793754314,1,10,0.43336974685658586
output,g223_phi_1,0,0.6701530451921801,1,10,0.6199068703249627
output,g223_Phi,0,0.4756857129806041,1,10,0.4531959863395364
output,g223_phi_2,0,0.7981394099749288,1,10,-2.2004940365349333
output,g243_phi_1,0,0.3907938501556699,1,10,0.3741432107800257
output,g243_Phi,0,0.35264551866897115,1,10,0.3422252293607903
output,g243_phi_2,0,0.582290682718994,1,10,0.5749798882139895
output,g238_phi_1,0,-0.08437858865727006,1,10,-0.11423746924090476
output,g238_Phi,0,0.30213603698871866,1,10,0.27815889624466333
output,g238_phi_2,0,0.5390384415692979,1,10,0.5270366903931603
