iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,1.0951292575052631,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.44285977438015656,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.40718597874734064,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.36671916600037885,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,0.27383377973473,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,0.42421261717525754,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,5.327254244182214,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,8.445661890778581,nan,nan
9,905.19,2.7489,190.08,1.8804,1.0935705598322616,nan,nan
10,910.09,2.7018,189.73,1.8593,1.0415592389971893,nan,nan
11,921.33,2.7464,188.04,1.8859,1.0950281163947926,nan,nan
12,909.29,2.7313,191.3,1.8865,1.0913559660924115,nan,nan
13,917.22,2.7577,187.36,1.8737,1.0836383796702158,nan,nan
14,921.06,2.7815,189.36,1.8802,1.0929252846429531,nan,nan
15,906.44,2.7666,189.7,1.8947,1.1226067267209772,nan,nan
16,908.52,2.7328,190.63,1.8943,1.107034429490238,nan,nan
17,933.95,2.7145,192.24,1.9024,1.0885484101878447,nan,nan
18,915.08,2.7265,189.9,1.9135,1.1312194523910255,nan,nan
19,903.18,2.7859,187.68,1.8691,1.0945887389135696,nan,nan
20,896.81,2.7733,189.43,1.9195,1.1630533802535943,nan,nan
21,915.08,2.7059,186.17,1.8741,1.0732147435169481,nan,nan
22,916.29,2.7635,186.24,1.8981,1.1285817985006044,nan,nan
23,911.42,2.7621,184.72,1.8843,1.113705841169927,nan,nan
24,903.77,2.7256,186.06,1.8829,1.1024248044685505,nan,nan
25,923.03,2.7104,186.1,1.9059,1.1191586039275534,nan,nan
26,910.63,2.7765,186.02,1.8587,1.0733126429458857,nan,nan
27,906.2,2.7236,189.25,1.8873,1.0985151506051452,nan,nan
28,900.19,2.7161,187.43,1.8713,1.0796546369773143,nan,nan
29,917.5,2.7002,189.85,1.9149,1.123747474330895,nan,nan
30,914.6,2.7068,190.32,1.8968,1.0989331397540645,nan,nan
31,910.29,2.7428,189.96,1.8705,1.0717969712834736,nan,nan
32,893.02,2.7025,191.75,1.8743,1.0735463161117278,nan,nan
33,918.28,2.7412,189.83,1.8607,1.0494971877261192,nan,nan
34,909.48,2.7151,185.34,1.9061,1.1331210288462847,nan,nan
35,910.69,2.7736,187.12,1.8853,1.113246613568918,nan,nan
36,917.95,2.6804,188.86,1.896,1.0907038060837688,nan,nan
37,912.74,2.7365,190.88,1.9032,1.1180628466895712,nan,nan
38,888.53,2.7009,187.86,1.8869,1.1076533485000277,nan,nan
39,912.99,2.7321,188.7,1.8828,1.090170361632909,nan,nan
