iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,1.2128794887313221,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.39438064597540884,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.9054615477755303,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.2620074813179138,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,0.24672049649016994,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,0.3356736915824324,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,4.677912556882904,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,8.324054423125654,nan,nan
9,905.19,2.7489,190.08,1.8804,1.182222999187211,nan,nan
10,910.09,2.7018,189.73,1.8593,0.8790577704811365,nan,nan
11,921.33,2.7464,188.04,1.8859,1.2161541165166636,nan,nan
12,909.29,2.7313,191.3,1.8865,1.1956914198787827,nan,nan
13,917.22,2.7577,187.36,1.8737,1.1979564200884534,nan,nan
14,921.06,2.7815,189.36,1.8802,1.2226874048296261,nan,nan
15,906.44,2.7666,189.7,1.8947,1.2323143152910332,nan,nan
16,908.52,2.7328,190.63,1.8943,1.2055106354563763,nan,nan
17,933.95,2.7145,192.24,1.9024,1.1412219343812888,nan,nan
18,915.08,2.7265,189.9,1.9135,1.1882915691484635,nan,nan
19,903.18,2.7859,187.68,1.8691,1.0734951616348458,nan,nan
20,896.81,2.7733,189.43,1.9195,1.2424940224411123,nan,nan
21,915.08,2.7059,186.17,1.8741,1.1700430807497562,nan,nan
22,916.29,2.7635,186.24,1.8981,1.2392328027871529,nan,nan
23,911.42,2.7621,184.72,1.8843,1.261512845937851,nan,nan
24,903.77,2.7256,186.06,1.8829,1.2284586646451048,nan,nan
25,923.03,2.7104,186.1,1.9059,1.2017043241913377,nan,nan
26,910.63,2.7765,186.02,1.8587,0.9796222160649803,nan,nan
27,906.2,2.7236,189.25,1.8873,1.212700097807763,nan,nan
28,900.19,2.7161,187.43,1.8713,1.0298661907129123,nan,nan
29,917.5,2.7002,189.85,1.9149,1.1713922414050422,nan,nan
30,914.6,2.7068,190.32,1.8968,1.1846018742983064,nan,nan
31,910.29,2.7428,189.96,1.8705,1.0611305423059008,nan,nan
32,893.02,2.7025,191.75,1.8743,0.9565752591639556,nan,nan
33,918.28,2.7412,189.83,1.8607,0.9642875938541311,nan,nan
34,909.48,2.7151,185.34,1.9061,1.2299536751289808,nan,nan
35,910.69,2.7736,187.12,1.8853,1.2504056610758651,nan,nan
36,917.95,2.6804,188.86,1.896,1.1787439516515748,nan,nan
37,912.74,2.7365,190.88,1.9032,1.1943936208451071,nan,nan
38,888.53,2.7009,187.86,1.8869,1.180489015506547,nan,nan
39,912.99,2.7321,188.7,1.8828,1.210499807612336,nan,nan
40,915.12,2.7298,187.34,1.8571,0.9270380845656061,nan,nan
