param_type,param_name,out_u_bound,in_u_bound,in_l_bound,out_l_bound,base
input,cp_tau_s,1,3.6012014115993622,2.690780654501487,0,10
input,cp_b,1,0.9928759159105183,-1.8153085691824011,0,10
input,cp_tau_0,1,2.679836558918098,1.795873068576774,0,10
input,cp_n,1,1.2613580461941243,0.2320808424413723,0,10
input,average_strain,1,-0.5417702017764324,-2.075317627608911,0,10
output,average_stress,1,3.835018004041956,2.2905465542803065,0,10
output,g14_phi_1,1,0.17020302298566425,0.1064968701389724,0,10
output,g14_Phi,1,0.35241408009067043,0.3375790501431335,0,10
output,g14_phi_2,1,0.6370892735303305,0.6257753144476248,0,10
output,g72_phi_1,1,0.7980426220163206,-2.3125691451284074,0,10
output,g72_Phi,1,0.46743050423904947,0.4609429228889589,0,10
output,g72_phi_2,1,0.2962921509948616,0.22585181081815686,0,10
output,g95_phi_1,1,0.2733485687491012,0.23101058617949588,0,10
output,g95_Phi,1,0.302309278369985,0.27914200649163823,0,10
output,g95_phi_2,1,0.538209155476398,0.5281064611407105,0,10
output,g101_phi_1,1,0.20509604757848396,0.15630679949407297,0,10
output,g101_Phi,1,0.4004861817912044,0.3867307652098313,0,10
output,g101_phi_2,1,0.5510106015735105,0.5402794091407054,0,10
output,g207_phi_1,1,0.3153194652587506,0.2963799537713857,0,10
output,g207_Phi,1,0.2782962080912738,0.2522217535986872,0,10
output,g207_phi_2,1,0.5819610301668772,0.5714875530557968,0,10
output,g240_phi_1,1,0.38628488676785794,0.37132651386174614,0,10
output,g240_Phi,1,0.3823592975193185,0.3692344166068253,0,10
output,g240_phi_2,1,0.5755688404700948,0.5674968911042225,0,10
output,g262_phi_1,1,0.19829960896768684,0.13909160752382263,0,10
output,g262_Phi,1,0.39946604100434435,0.37823432829289566,0,10
output,g262_phi_2,1,0.6047011403280023,0.5847720808661488,0,10
output,g287_phi_1,1,0.3511389585818487,0.32469391386177465,0,10
output,g287_Phi,1,0.3823773034681136,0.3763761863159619,0,10
output,g287_phi_2,1,0.5693387900429224,0.552838494288028,0,10
