param_type,param_name,base,out_u_bound,out_l_bound,in_u_bound,in_l_bound
input,cp_lh_0,10,1,0,2.960432721585983,1.6815487537344114
input,cp_lh_1,10,1,0,2.9956483548369985,2.031610414723481
input,cp_tau_0,10,1,0,2.6710431832181047,0.8322341984459257
input,cp_n,10,1,0,1.2632809142966215,0.39054653988880195
input,average_strain,10,1,0,-0.5409846676981706,-2.078771465442737
output,average_stress,10,1,0,3.5244740154735967,1.7409466202408765
output,g14_phi_1,10,1,0,0.1742052269401471,0.10397466938638814
output,g14_Phi,10,1,0,0.3519508325993843,0.33781852877170127
output,g14_phi_2,10,1,0,0.6399941974002882,0.6257444722246495
output,g72_phi_1,10,1,0,0.7980702779199121,-2.442228211710763
output,g72_Phi,10,1,0,0.46717877794303153,0.4609128699872859
output,g72_phi_2,10,1,0,0.2965555060882234,0.22711508258912522
output,g95_phi_1,10,1,0,0.2788907249286784,0.23090851932076448
output,g95_Phi,10,1,0,0.3023742260755825,0.27982658179401454
output,g95_phi_2,10,1,0,0.5382720356482111,0.5268301662345263
output,g101_phi_1,10,1,0,0.20479803819085501,0.15724516047519474
output,g101_Phi,10,1,0,0.4016934184407527,0.3866772839608377
output,g101_phi_2,10,1,0,0.5521082601479829,0.54024185611511
output,g207_phi_1,10,1,0,0.31956406609216437,0.2827580210255974
output,g207_Phi,10,1,0,0.27838772520928257,0.2517112049844569
output,g207_phi_2,10,1,0,0.5819837728607398,0.5712778165021857
output,g240_phi_1,10,1,0,0.3866772839608377,0.3711972073222944
output,g240_Phi,10,1,0,0.3823592975193185,0.3685471975676564
output,g240_phi_2,10,1,0,0.5772044730110629,0.5673793076509787
output,g262_phi_1,10,1,0,0.20235206780975143,0.1387446639488925
output,g262_Phi,10,1,0,0.3992928980439108,0.3781252456193726
output,g262_phi_2,10,1,0,0.605024765730024,0.584692985722812
output,g287_phi_1,10,1,0,0.35061623697583133,0.33209492844607935
output,g287_Phi,10,1,0,0.38250332421115074,0.37659520434047516
output,g287_phi_2,10,1,0,0.5694090263474265,0.5533853652537915
