param_type,param_name,in_u_bound,base,out_l_bound,in_l_bound,out_u_bound
input,cp_lh_0,2.983206672357704,10,0,1.591776711276067,1
input,cp_lh_1,2.9970061010505793,10,0,1.2075266554633342,1
input,cp_lh_2,2.994976673649691,10,0,0.8524067917687891,1
input,cp_lh_3,2.993193663312604,10,0,1.7382016418359911,1
input,cp_lh_4,2.9908802751047285,10,0,1.62769350238866,1
input,cp_lh_5,2.9728459327176417,10,0,-0.7087421797118504,1
input,cp_tau_0,2.6734540634594217,10,0,0.5941051357868451,1
input,cp_n,1.2986566173911454,10,0,0.26318615741370516,1
input,average_strain,-0.5415283476157685,10,0,-2.0564906451282092,1
output,average_stress,3.5322063893450797,10,0,1.6828667956623244,1
output,g14_phi_1,0.15679136800392898,10,0,0.10629291217565745,1
output,g14_Phi,0.352336906481955,10,0,0.3418102888565134,1
output,g14_phi_2,0.6357550960782871,10,0,0.6257341909969013,1
output,g72_phi_1,0.7981048453229965,10,0,-2.8536858779880268,1
output,g72_Phi,0.46710471302106155,10,0,0.4609128699872859,1
output,g72_phi_2,0.2965555060882234,10,0,0.2214664022147398,1
output,g95_phi_1,0.29545713807256296,10,0,0.23090851932076448,1
output,g95_Phi,0.30239587315256655,10,0,0.27914200649163823,1
output,g95_phi_2,0.5382720356482111,10,0,0.5276814461187913,1
output,g101_phi_1,0.20482513840501645,10,0,0.1590857137143455,1
output,g101_Phi,0.4023129787339999,10,0,0.3866772839608377,1
output,g101_phi_2,0.5549250527957507,10,0,0.54024185611511,1
output,g207_phi_1,0.32341712135041933,10,0,0.2963799537713857,1
output,g207_Phi,0.2784334765374158,10,0,0.2507370679037898,1
output,g207_phi_2,0.5819951437610744,10,0,0.5708813708862784,1
output,g240_phi_1,0.3935752032695875,10,0,0.3711787318162868,1
output,g240_Phi,0.3823592975193185,10,0,0.36426950383591583,1
output,g240_phi_2,0.576064788225377,10,0,0.5670734416002102,1
output,g262_phi_1,0.20544797705167664,10,0,0.1387446639488925,1
output,g262_Phi,0.39898106665813116,10,0,0.3781070625097422,1
output,g262_phi_2,0.6067681878722986,10,0,0.5846816852406053,1
output,g287_phi_1,0.3523176109368268,10,0,0.3266430361026347,1
output,g287_Phi,0.3818908806262575,10,0,0.3765404601883948,1
output,g287_phi_2,0.569420731293912,10,0,0.5531910011289717,1
