param_type,param_name,base,in_u_bound,out_u_bound,out_l_bound,in_l_bound
input,cp_lh_0,10,2.997386384397313,1,0,-2.688394459945532
input,cp_lh_1,10,2.9886392092238454,1,0,-0.07083661679493557
input,cp_lh_2,10,2.976794593624338,1,0,0.5371514050483376
input,cp_lh_3,10,2.9928670862744036,1,0,1.4221464559621249
input,cp_lh_4,10,2.9789561652175913,1,0,-4.768632368598288
input,cp_lh_5,10,2.991066509634194,1,0,1.7576161572612417
input,cp_tau_0,10,2.688944573997912,1,0,-0.2581553443783375
input,cp_n,10,1.293914741031102,1,0,0.09808969036395224
input,average_strain,10,-0.5419516808257298,1,0,-2.6475666286497193
output,average_stress,10,3.4736475198572228,1,0,0.8659622351661288
output,g14_phi_1,10,0.16773075170648025,1,0,0.10551018476997392
output,g14_Phi,10,0.35227901727449773,1,0,0.3368598209168093
output,g14_phi_2,10,0.637029173272112,1,0,0.6257341909969013
output,g72_phi_1,10,0.7981601474457172,1,0,-3.392094830691381
output,g72_Phi,10,0.4673416763235729,1,0,0.4608377286334117
output,g72_phi_2,10,0.2965555060882234,1,0,0.216086692421913
output,g95_phi_1,10,0.30000820255381305,1,0,0.23088299885759256
output,g95_Phi,10,0.30511480803539526,1,0,0.2784334765374158
output,g95_phi_2,10,0.5382720356482111,1,0,0.5283895735900476
output,g101_phi_1,10,0.207930437512971,1,0,0.15008068623349335
output,g101_Phi,10,0.4026224277485275,1,0,0.3866772839608377
output,g101_phi_2,10,0.5540407027174018,1,0,0.5402293377182826
output,g207_phi_1,10,0.32555671005113324,1,0,0.2906577664091322
output,g207_Phi,10,0.2821007372858476,1,0,0.25071268645918526
output,g207_phi_2,10,0.5820178846686278,1,0,0.5705312651421314
output,g240_phi_1,10,0.39476678022632045,1,0,0.3653007486379873
output,g240_Phi,10,0.38239530867040905,1,0,0.3641005213069415
output,g240_phi_2,10,0.5760532609866694,1,0,0.5617332755849138
output,g262_phi_1,10,0.20830696235366278,1,0,0.13871310987601176
output,g262_Phi,10,0.4005552572189063,1,0,0.3781070625097422
output,g262_phi_2,10,0.607637281414817,1,0,0.5846703844643487
output,g287_phi_1,10,0.35610237811339873,1,0,0.31977209142636315
output,g287_Phi,10,0.3814580469221574,1,0,0.37527943633647476
output,g287_phi_2,10,0.5694324359249388,1,0,0.5505340865995073
