iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,1.1641775104406642,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.448931113731655,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.38033117776914116,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.2800275537632252,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,0.17845065077040653,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,0.2113979443505261,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,5.390492032184373,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,8.641068993047513,nan,nan
9,905.19,2.7489,190.08,1.8804,1.1642966475821424,nan,nan
10,910.09,2.7018,189.73,1.8593,1.1428145314154505,nan,nan
11,921.33,2.7464,188.04,1.8859,1.169682463882406,nan,nan
12,909.29,2.7313,191.3,1.8865,1.1481053650440871,nan,nan
13,917.22,2.7577,187.36,1.8737,1.178814513624355,nan,nan
14,921.06,2.7815,189.36,1.8802,1.1698608047613277,nan,nan
15,906.44,2.7666,189.7,1.8947,1.17566686880303,nan,nan
16,908.52,2.7328,190.63,1.8943,1.1560089585065303,nan,nan
17,933.95,2.7145,192.24,1.9024,1.122180117875373,nan,nan
18,915.08,2.7265,189.9,1.9135,1.1581820228944506,nan,nan
19,903.18,2.7859,187.68,1.8691,1.1929042820951998,nan,nan
20,896.81,2.7733,189.43,1.9195,1.1893446578679605,nan,nan
21,915.08,2.7059,186.17,1.8741,1.1729853781702777,nan,nan
22,916.29,2.7635,186.24,1.8981,1.1948433559776495,nan,nan
23,911.42,2.7621,184.72,1.8843,1.2070636341319856,nan,nan
24,903.77,2.7256,186.06,1.8829,1.1899741724123245,nan,nan
25,923.03,2.7104,186.1,1.9059,1.1742711748703638,nan,nan
